Ancient pop	Sex	Age	Country	Lat	Long	A	B	C	D	E	F	G	H	I	J	K	L	M	N	P	R	T	U	V	W	X	Z	total
Albania BA IA	F	2900	Albania	42.020556	20.388611	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Albania BA IA	M	2475	Albania	42.020556	20.388611	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
Albania BA IA oCroat 1d.rel.I16256	M	2500	Albania	42.020556	20.388611	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Albania MBA	M	3745	Albania	42.15	19.29	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Argentina ArroyoSeco2 7700BP	M	7652	Argentina	-38.3605556	-60.2441667	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Argentina NorthTierradelFiego Selknam 100BP.SG	M	100	Argentina	-53.26	-70.45	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Argentina NorthTierradelFuego Selknam 500BP	F	100	Argentina	-53.66	-67.96	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Armenia Aknashen N	M	7858	Armenia	40.100933	44.290517	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Armenia C	M	6076	Armenia	39.73	45.2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Armenia EBA	M	4476	Armenia	40.65	45.1167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Armenia EBA KuraAraxes o2 lc	M	4950	Armenia	40.783	43.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Armenia EIA	F	2599	Armenia	40.91666	44.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Armenia EIA	M	2586	Armenia	40.91666	44.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Armenia LBA	F	3128	Armenia	40.37518133333333	45.17689300000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	3
Armenia LBA	M	3079	Armenia	40.416667	45.20000000000001	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	3
Armenia LBA EIA	M	3088	Armenia	40.6666635	44.85	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2
Armenia LIA o2	F	2023	Armenia	40.29221	45.130679	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Armenia Lchashen LBA	F	3240	Armenia	40.516618	44.933321	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3
Armenia MBA	M	3285	Armenia	40.416667	45.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Armenia UrartianEmpire	F	2789	Armenia	40.15118	44.443167	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Austria Kleinhadersdorf LBK EN.SG	F	8970	Austria	48.6628	16.5898	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Austria Krems1 2 twin.I2483	M	30850	Austria	48.41	15.59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Azerbaijan Caucasus lowlands LN	F	7638	Azerbaijan 	40.941889	45.832778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Bahamas AbacoIsl Ceramic	F	603	Bahamas	26.31	-77.55	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bahamas CrookedIsl Ceramic	M	750	Bahamas	22.82	-74.29	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bahamas EleutheraIsl Ceramic	F	938	Bahamas	25.366574	-76.520014	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bahamas EleutheraIsl Ceramic	M	883	Bahamas	25.557	-76.696	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bahamas SouthAndros Ceramic	M	663	Bahamas	24.1	-77.55	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Belize 4600BP	F	4725	Belize	16.497398	-88.90496	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Belize 4600BP	M	4472	Belize	16.497398	-88.90496	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bolivia Lukurmata Tiwanaku	F	1660	Bolivia	-16.44	-68.71	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Bolivia Totocachi Tiwanaku	F	539	Bolivia	-16.56	-68.67	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
