Ancient pop	Sex	A	B	C	D	E	F	G	H	I	J	K	L	M	N	P	R	T	U	V	W	X	Z
Albania BA IA	F								H1a														
Albania BA IA	M								H1u2									T2b23					
Albania BA IA oCroat 1d.rel.I16256	M								H+152														
Albania MBA	M								H1h1														
Argentina ArroyoSeco2 7700BP	M				D1																		
Argentina NorthTierradelFiego Selknam 100BP.SG	M				D1g5 																		
Argentina NorthTierradelFuego Selknam 500BP	F				D1g+16189																		
Armenia Aknashen N	M									I1													
Armenia C	M											K											
Armenia EBA	M																					X2f	
Armenia EBA KuraAraxes o2 lc	M																	T2h					
Armenia EIA	F																	T2b					
Armenia EIA	M																		U3c				
Armenia LBA	F																R1a1a	T2i1			W6b		
Armenia LBA	M											K1a			N1b1a2			T2c1a					
Armenia LBA EIA	M											K1a4b			N1a1a+152								
Armenia LIA o2	F			C5c+16234																			
Armenia Lchashen LBA	F								H4a1a1a									T2h			W1+119		
Armenia MBA	M																		U1a1a1a				
Armenia UrartianEmpire	F										J1b												
Austria Kleinhadersdorf LBK EN.SG	F																				W1-119		
Austria Krems1 2 twin.I2483	M																		U5				
Azerbaijan Caucasus lowlands LN	F																		U7				
Bahamas AbacoIsl Ceramic	F		B2e																				
Bahamas CrookedIsl Ceramic	M			C1b																			
Bahamas EleutheraIsl Ceramic	F			C1b																			
Bahamas EleutheraIsl Ceramic	M		B2																				
Bahamas SouthAndros Ceramic	M		B2e																				
Belize 4600BP	F			C1c																			
Belize 4600BP	M			C5b																			
Bolivia Lukurmata Tiwanaku	F			C1b																			
Bolivia Totocachi Tiwanaku	F		B2																				
Botswana Taukome EIA	F												L0d3b1										
Brazil LapaDoSanto 9600BP	F	A2																					
Brazil LapaDoSanto 9900BP 1d.rel.Lapa25	M			C1d1																			
Bulgaria C	F								H7									T2e					
Bulgaria EBA Yamnaya	M																		U5a2b				
Bulgaria EBA oEast contam	F										J2a1												
Bulgaria EBA oNorth	M																				W		
Bulgaria EIA	M								H13b1+200,H13a1a1										U5a1a1				
Bulgaria EIA lc	M								H55+153														
Bulgaria EIA o	F			C4a1a+195																			
Bulgaria LIA	M								HV9														
Bulgaria MalakPreslavets N	F								H5b														
Bulgaria Medieval	F																		U2e2a1a				
Bulgaria Medieval oEastAsia	M																		U5a1b1c				
Bulgaria Varna C	M																	T2b2b					
Cameroon SMA	M												L0a2a1										
Chile LosRieles 12000BP	M			C1b																			
Chile StraitOfMagellan Kaweskar 100BP o.SG	M				D4h3a 																		
China AR EN	F			C4a1a																			
China AR IA	M														N9a9								
China AR Xianbei IA	M			C4a1a4a,C5a1																			
China Guangxi Cenxun Sui Tang	F													M7b1a1+(16192)									
China Guangxi Huatuyan Ming.SG	M			C7a																			
China Guangxi Yiyang NorthernAndSouthernDynasties Sui Tang	F													M7b1a1a3									
China SEastAsia Island EN	M					E																	
China Tianyuan	M		B																				
China Upper YR LN	M							G3a2															
China Wuzhuangguoliang LN.EC	F		B4a2b1																				
