Ancient pop	Sex	Age	Country	Lat	Long	B	C	E	F	G	H	I	J	L	N	O	P	Q	R	T	total
Armenia EBA	M	4476	Armenia	40.65	45.1167	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Bahamas EleutheraIsl Ceramic	M	883	Bahamas	25.557	-76.696	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Cameroon SMA	M	7820	Cameroon	5.8586	10.0778	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China AR IA	M	1786	China 	46.8613	119.655	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
China AR Xianbei IA	M	1800	China 	46.8613	119.655	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2
China Upper YR LN	M	4296	China 	36.919614	102.531876	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
China Xinjiang Chaganguole(Chagangole) BA Chemurcheck	M	4224	China	46.48	90.75	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
China Xinjiang Chaganguole BA Chemurcheck	M	4224	China	46.48	90.75	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2
China Xinjiang Liushui IA	M	2824	China	36.46	81.95	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2
China Xinjiang Wutulan IA	M	2181	China	43.83	82.72	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
China Xinjiang Zhagunluke IA Zaghunluq	M	2190	China	38.27	85.33	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
China YR MN	M	6927	China 	34.564554	110.977875	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Croatia Popova MN.SG	M	6408	Croatia	45.74699999999999	18.57	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	3
Croatia Popova RomanP.SG	M	1586	Croatia	45.747	18.57	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Cuba CanimarAbajo Archaic	M	905	Cuba	23.038	-81.497	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Cuba CuevaPerico Archaic	M	1345	Cuba	22.958	-83.275	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
Cuba GuayaboBlanco Archaic	M	1657	Cuba	22.301	-80.924	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
