Ancient pop	Sex	B	C	E	F	G	H	I	J	L	N	O	P	Q	R	T
Armenia EBA	M														R1b1x(R1b1a1, R1b1a2, R1b1c2, R1b1c3) 	
Bahamas EleutheraIsl Ceramic	M													Q1b1a		
Cameroon SMA	M	B														
China AR IA	M		C2b1a1b1													
China AR Xianbei IA	M		C2b1a1b1b,C2b1a1b1													
China Upper YR LN	M											O2a2b1a1a				
China Xinjiang Chaganguole(Chagangole) BA Chemurcheck	M														R1b1a1a2a2	
China Xinjiang Chaganguole BA Chemurcheck	M													Q1b	R1b1a1a2a2	
China Xinjiang Liushui IA	M													Q1a,Q1a2a1c		
China Xinjiang Wutulan IA	M													Q1a2a1c		
China Xinjiang Zhagunluke IA Zaghunluq	M														R1b1~	
China YR MN	M													Q1a1a1		
Croatia Popova MN.SG	M					G2a2a-PF3147,G2a2b2a1a1-PF3345			J-M304							
Croatia Popova RomanP.SG	M														R1a1a1b2a2b1-F1345	
Cuba CanimarAbajo Archaic	M													Q1b1a1a1		
Cuba CuevaPerico Archaic	M													Q1b1a		
Cuba GuayaboBlanco Archaic	M													Q1b		
Czech BellBeaker	M														R1b - P312,R1b - P312,R1b - P312	
Czech EBA Unetice	M														R1b1a1b1a1a2b1 (xZ2103, xZ2105),R1b1a1b1a1a2b1a1 (xZ2103, xZ2105),R1b1a1b1a1a2b1 (xZ2105),R1b - P312	
Czech EBA Unetice father.MIB015.father.MIB010.father.MIB030.father.MIB035.father.MIB018.father.MIB011	M														R1b1a1b1a1a2b1 (xZ2103)	
Czech EBA Unetice father.or.son.MIB083.1d.rel.MIB078	M														R1b1a1b	
Czech EBA Unetice son.MIB038.brother.MIB045.father.MIB039	M														R1b1a1b1a1	
Denmark EarlyViking.SG	M							I1								
Denmark Viking.SG	M							I1a2a1a1a1a,I1a,I1a1b1a4a,I1a1b							R1a1a1b1a2b,R1b1a1b1a1a,R1a1a1b1a2b3a	
England BellBeaker	M														R1b1a1b1a1a	
England C EBA	M														R1b1a1b1a1a2c1,R1b1a1b1a1a2c1,R1b,R1b1a1b1a1a2,R1b1a1b1a1a2c1	
England C EBA lowEEF	M														R1b1a1b1a	
